ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-02,4087.5477829279284,3896.462630507055,4438.36413528903,4087.5477829279284,4087.5477829279284,82.78120379210532,82.78120379210532,82.78120379210532,17.02864224997577,17.02864224997577,17.02864224997577,65.75256154212956,65.75256154212956,65.75256154212956,0.0,0.0,0.0,4170.328986720034
2020-01-03,4084.2941260546613,3900.5223737506208,4453.698283123155,4084.2941260546613,4084.2941260546613,93.59023415576995,93.59023415576995,93.59023415576995,23.313646322375586,23.313646322375586,23.313646322375586,70.27658783339436,70.27658783339436,70.27658783339436,0.0,0.0,0.0,4177.884360210432
2020-01-06,4074.5331554348563,3906.012921475837,4427.729811659388,4074.5331554348563,4074.5331554348563,100.86823653699285,100.86823653699285,100.86823653699285,16.4092340505899,16.4092340505899,16.4092340505899,84.45900248640295,84.45900248640295,84.45900248640295,0.0,0.0,0.0,4175.401391971849
2020-01-07,4071.279498561589,3907.3939536367448,4453.660837802952,4071.279498561589,4071.279498561589,104.89482085031213,104.89482085031213,104.89482085031213,15.720535395945177,15.720535395945177,15.720535395945177,89.17428545436694,89.17428545436694,89.17428545436694,0.0,0.0,0.0,4176.174319411902
2020-01-08,4068.0258416883207,3902.108849987433,4442.914386860027,4068.0258416883207,4068.0258416883207,111.44322301999817,111.44322301999817,111.44322301999817,17.660858379872383,17.660858379872383,17.660858379872383,93.78236464012578,93.78236464012578,93.78236464012578,0.0,0.0,0.0,4179.469064708319
2020-01-09,4064.7721848150522,3920.4494796065633,4464.182787516123,4064.7721848150522,4064.7721848150522,115.25879715177221,115.25879715177221,115.25879715177221,17.028642249995272,17.028642249995272,17.028642249995272,98.23015490177693,98.23015490177693,98.23015490177693,0.0,0.0,0.0,4180.030981966825
2020-01-10,4055.034880714252,3929.2366229086706,4441.701742198973,4055.034880714252,4055.034880714252,125.78534239200951,125.78534239200951,125.78534239200951,23.31364632256282,23.31364632256282,23.31364632256282,102.47169606944668,102.47169606944668,102.47169606944668,0.0,0.0,0.0,4180.820223106261
2020-01-13,4025.822968411845,3889.064786396505,4415.778304191226,4025.822968411845,4025.822968411845,130.03863446522615,130.03863446522615,130.03863446522615,16.40923405057761,16.40923405057761,16.40923405057761,113.62940041464854,113.62940041464854,113.62940041464854,0.0,0.0,0.0,4155.861602877071
2020-01-14,4016.0856643110474,3890.3865230262622,4420.7517630535385,4016.0856643110474,4016.0856643110474,132.48571434600342,132.48571434600342,132.48571434600342,15.720535395962456,15.720535395962456,15.720535395962456,116.76517895004096,116.76517895004096,116.76517895004096,0.0,0.0,0.0,4148.57137865705
2020-01-15,4006.348360210244,3896.838710367661,4425.164538532721,4006.348360210244,4006.348360210244,137.26511694467243,137.26511694467243,137.26511694467243,17.660858379871005,17.660858379871005,17.660858379871005,119.60425856480143,119.60425856480143,119.60425856480143,0.0,0.0,0.0,4143.613477154917
2020-01-16,3996.611056109444,3868.619083699392,4407.425939505636,3996.611056109444,3996.611056109444,139.18758485362017,139.18758485362017,139.18758485362017,17.028642250014776,17.028642250014776,17.028642250014776,122.1589426036054,122.1589426036054,122.1589426036054,0.0,0.0,0.0,4135.798640963064
2020-01-17,3986.8737520086406,3852.067254272952,4412.15711016873,3986.8737520086406,3986.8737520086406,147.76476675427548,147.76476675427548,147.76476675427548,23.31364632242394,23.31364632242394,23.31364632242394,124.45112043185155,124.45112043185155,124.45112043185155,0.0,0.0,0.0,4134.638518762916
2020-01-20,3957.661839706236,3821.9566593895884,4391.581308540024,3957.661839706236,3957.661839706236,146.50594512914722,146.50594512914722,146.50594512914722,16.409234050625187,16.409234050625187,16.409234050625187,130.09671107852202,130.09671107852202,130.09671107852202,0.0,0.0,0.0,4104.167784835383
2020-01-21,3947.9245356054385,3818.018474825144,4370.126089099564,3947.9245356054385,3947.9245356054385,147.43688457151345,147.43688457151345,147.43688457151345,15.72053539597974,15.72053539597974,15.72053539597974,131.7163491755337,131.7163491755337,131.7163491755337,0.0,0.0,0.0,4095.361420176952
2020-01-22,3938.1872315046353,3819.1711518344678,4369.304919229362,3938.1872315046353,3938.1872315046353,150.9514455210174,150.9514455210174,150.9514455210174,17.660858379864067,17.660858379864067,17.660858379864067,133.29058714115334,133.29058714115334,133.29058714115334,0.0,0.0,0.0,4089.1386770256527
2020-01-23,3928.449927403835,3806.0227113572228,4355.406417081913,3928.449927403835,3928.449927403835,151.90311800994576,151.90311800994576,151.90311800994576,17.02864225003428,17.02864225003428,17.02864225003428,134.8744757599115,134.8744757599115,134.8744757599115,0.0,0.0,0.0,4080.353045413781
2020-01-24,3918.7126233030317,3810.3395741867193,4352.655492989396,3918.7126233030317,3918.7126233030317,159.8367460896169,159.8367460896169,159.8367460896169,23.313646322427072,23.313646322427072,23.313646322427072,136.52309976718982,136.52309976718982,136.52309976718982,0.0,0.0,0.0,4078.5493693926487
2020-01-27,3889.50071100063,3778.3333536804234,4326.499494405012,3889.50071100063,3889.50071100063,158.7824759170013,158.7824759170013,158.7824759170013,16.409234050672765,16.409234050672765,16.409234050672765,142.37324186632856,142.37324186632856,142.37324186632856,0.0,0.0,0.0,4048.283186917631
2020-01-28,3879.7634068998245,3774.378099926259,4294.46873977147,3879.7634068998245,3879.7634068998245,160.4944579456289,160.4944579456289,160.4944579456289,15.720535395919438,15.720535395919438,15.720535395919438,144.77392254970948,144.77392254970948,144.77392254970948,0.0,0.0,0.0,4040.2578648454532
2020-01-29,3870.0261027990264,3786.406855704518,4326.595418424569,3870.0261027990264,3870.0261027990264,165.11910942368627,165.11910942368627,165.11910942368627,17.660858379877205,17.660858379877205,17.660858379877205,147.45825104380907,147.45825104380907,147.45825104380907,0.0,0.0,0.0,4035.145212222713
2020-01-30,3860.288798698226,3742.529045021093,4277.670192219407,3860.288798698226,3860.288798698226,167.47768146191274,167.47768146191274,167.47768146191274,17.028642250033094,17.028642250033094,17.028642250033094,150.44903921187964,150.44903921187964,150.44903921187964,0.0,0.0,0.0,4027.7664801601386
2020-01-31,3850.551494597423,3740.770216425358,4295.273962160572,3850.551494597423,3850.551494597423,177.0734259094513,177.0734259094513,177.0734259094513,23.313646322566978,23.313646322566978,23.313646322566978,153.75977958688432,153.75977958688432,153.75977958688432,0.0,0.0,0.0,4027.624920506874
2020-02-03,3821.339582295021,3723.242418257349,4288.44007649494,3821.339582295021,3821.339582295021,182.00718619174341,182.00718619174341,182.00718619174341,16.409234050533374,16.409234050533374,16.409234050533374,165.59795214121002,165.59795214121002,165.59795214121002,0.0,0.0,0.0,4003.3467684867646
2020-02-04,3811.602278194218,3733.5584978138872,4265.731980826263,3811.602278194218,3811.602278194218,185.84529432027898,185.84529432027898,185.84529432027898,15.720535395936718,15.720535395936718,15.720535395936718,170.12475892434225,170.12475892434225,170.12475892434225,0.0,0.0,0.0,3997.4475725144966
2020-02-05,3801.8649740934175,3728.7118396241117,4266.08636055925,3801.8649740934175,3801.8649740934175,192.55157709564995,192.55157709564995,192.55157709564995,17.660858379870263,17.660858379870263,17.660858379870263,174.8907187157797,174.8907187157797,174.8907187157797,0.0,0.0,0.0,3994.4165511890674
